"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2009",-4.841785296,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2010",2.2950896869,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2011",2.0047040065,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2012",-0.7998442812,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2013",-0.4836710407,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2014",2.7151161316,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2015",4.5356286986,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2016",2.4119417781,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2017",2.5146829873,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2018",2.5990524455,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1971",3.0018833545,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1972",4.1749975843,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1973",3.7592397043,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1974",-0.8159543627,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1975",-1.2214517375,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1976",6.0935003973,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1977",1.9788539424,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1978",2.2745466411,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1979",3.9501292691,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1980",-0.4875423472,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1981",-0.8869038202,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1982",3.7139827441,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1983",2.6518572426,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1984",4.165577099,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1985",4.0244344649,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1986",4.9492408926,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1987",0.2899368312,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1988",-0.1426641096,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1989",0.5729004027,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1990",1.607443635,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1991",1.3004270378,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1992",1.9592836369,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1993",0.0075063804,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1994",5.3291300758,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1995",3.0285755006,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1996",2.9049661087,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1997",3.2598467536,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1998",2.2131094187,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1999",2.9484811819,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2000",3.74860819,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2001",0.8227999046,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2002",0.4671791839,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2003",0.3884866678,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2004",2.6678393433,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2005",2.3415191319,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2006",3.9118303571,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2007",0.9075774663,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2008",-0.5109100585,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2009",-4.9053172141,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2010",1.8675817067,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2011",1.3363520901,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2012",0.2288703613,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2013",0.9351383679,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2014",1.6751952599,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2015",1.6052129688,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2016",0.95435209,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2017",1.4550719614,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","2018",1.9326016108,
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1971",2.0636202619,
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1972",7.59971541,
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1973",6.6007691789,
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1974",3.0741868311,
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1975",1.0690819773,
"FIN","REALGDPFORECAST","TOT","AGRWTH","A","1976",0.1653415381,
